GODKJENT,GODKJENNINGSNUMMER,PRODUKSJONSFORMER,VIRKSOMHETSNAVN,BEDRIFTSNR,ADRESSE,POSTNR,POSTSTED,TELEFON,TELEFAX,KOMMUNENR,KOMMUNE,FYLKENR,FYLKE
,NO18052634,R,PER MAGNUS VÆRDAL,874037842,Sakshaugvegen 44A,7670,INDERØY,,,5053,Inderøy,50,Trøndelag
,NO18052581,N,PER ØIVIN SOLA,985684952,Søndre Jahrenvei 37,3073,SANDE I VESTFOLD,,sola@jahrengard.no,3903,Holmestrand,39,Vestfold
,NO17051905,R,PER ØYVIND BRANDSEGG,973928627,Brandseggvegen 141,7718,STEINKJER,,,5006,Steinkjer,50,Trøndelag
,NO17051865,Q,PER-KRISTIAN BRÅTHEN TRANSPORT AS,985142785,Jordmor Ragndis veg 5,2100,SKARNES,,,3415,Sør-Odal,34,Innlandet
,NO10050352,K,PERMAKEM AS,972283169,Haralds vei 12,1470,LØRENSKOG,67979600,67979601,0301,Oslo kommune,03,Oslo
,NO14051230,O,PET-MIX AS PETS KLØFTA & MIN HESTEBUTIKK,981098560,Ilevegen 1B,2040,KLØFTA,,,3209,Ullensaker,32,Akershus
,NO23053622,I,PETOSAN AS,984396228,Unnelandsvegen 258,5268,HAUKELAND,,,4601,Bergen,46,Vestland
,NO16051695,M,PETPOWERHOUSE AS,917528160,Karihaugveien 89,1086,OSLO,,,4012,Bamble,40,Telemark
,NO17051792,N,PETS OF NORWAY AS,917739315,Hyggeveien 6D,1178,OSLO,,,0301,Oslo kommune,03,Oslo
,NO23053528,M,PETXL GROUP AS,919044446,Rådhusgata 30B,0151,OSLO,,,0301,Oslo kommune,03,Oslo
,NO11050633,I,PHARMA MARINE AS,991046127,Terøy industriområde 3,6280,SØVIK,,,1580,Haram,15,Møre og Romsdal
A,NO16051744,ABCI,PHARMATECH AS,984388314,Vallehellene 4,1664,ROLVSØY,69360200,69360209,3107,Fredrikstad,31,Østfold
,NO13051054,I,PLANKTONIC AS,993391948,Bynesvegen 50,7018,TRONDHEIM,,,5001,Trondheim,50,Trøndelag
,NO13051138,M,PLANTASJEN NORGE AS AVD GJØVIK,973064886,Huntonstranda 3,2821,GJØVIK,,,3407,Gjøvik,34,Innlandet
,NO17051901,M,PLANTASJEN NORGE AS AVD HAUGESUND,985437343,Spannavegen 148,5535,HAUGESUND,,,1106,Haugesund,11,Rogaland
,NO26054245,,PLANTASJEN NORGE AS AVD KJEDEKONTOR,995151979,Trondheimsveien 40 A,2013,SKJETTEN,,,3205,Lillestrøm,32,Akershus
,NO13051034,M,PLANTASJEN NORGE AS AVD ÅSANE,986583831,Åsamyren 234,5131,Nyborg,,,4601,Bergen,46,Vestland
,NO25053856,P,PLANTASJEN SOURCE NORGE AS,924589981,Vålerveien 165,1599,MOSS,,,3103,Moss,31,Østfold
,NO18051967,MO,PLAY PRODUCTS AS,919838337,Kirkegata 29,4006,STAVANGER,,,1103,Stavanger,11,Rogaland
,NO18051962,N,PLUSSFÔR AS,919942355,c/o M. Amb,2372,BRØTTUM,,,3411,Ringsaker,34,Innlandet
,NO23053516,I,POLAR ALGAE AS,917998698,Havneveien 50,9610,RYPEFJORD,,,5603,Hammerfest,56,Finnmark
,NO21053252,M,POLARFEED AS AVD LEKNES,926348051,Storgata 9,8370,LEKNES,,,1860,Vestvågøy,18,Nordland
,NO10050298,H,POLARFEED AS AVD ØKSFJORD,982312930,,9550,Øksfjord,,,5614,Loppa,56,Finnmark
,NO17051886,I,POLARMAT AS,919379790,Tonnesveien 299,8750,TONNES,,,1834,Lurøy,18,Nordland
,NO22053453,R,POLLINERING AS,973723839,Borevegen 7,4352,KLEPPE,,,1121,Time,11,Rogaland
,NO10050228,M,PORTHOS TRADING AS,985933006,Norlines,1630,Gamle Fredrikstad,,,3105,Sarpsborg,31,Østfold
,NO12050952,Q,POSTNORD AS AVD ALTA,976502701,Havneveien 10,9515,ALTA,,,5601,Alta,56,Finnmark
,NO12050953,Q,POSTNORD AS AVD HANEKLEIVA,929421868,Tømmersvingen 3,3414,LIERSTRANDA,,,3903,Holmestrand,39,Vestfold
,NO12050957,Q,POSTNORD AS AVD HARSTAD,974090562,Stangnesterminalen 8 A,9409,HARSTAD,,,5503,Harstad,55,Troms
,NO12050949,Q,POSTNORD AS AVD KRISTIANSAND,974152975,Buråsen 29,4636,KRISTIANSAND S,,,4204,Kristiansand,42,Agder
,NO14051398,Q,POSTNORD AS AVD LANGHUS,913548221,Fugleåsen 9,1405,LANGHUS,,,3207,Nordre Follo,32,Akershus
,NO12050950,Q,POSTNORD AS AVD MJØSTERMINALEN,974139685,Rudsflata 7,2360,RUDSHØGDA,,,3411,Ringsaker,34,Innlandet
,NO12050966,Q,POSTNORD AS AVD MO I RANA,976502736,Nordre gate 17,8622,MO I RANA,,,1833,Rana,18,Nordland
,NO12050961,Q,POSTNORD AS AVD OSLO,982589266,Alfaset 3. industrivei 25,0668,OSLO,22 32 90 00,22 79 26 21,0301,Oslo kommune,03,Oslo
,NO12050967,Q,POSTNORD AS AVD OTTA,974150484,Skansen 28,2670,OTTA,,,3437,Sel,34,Innlandet
,NO14051402,Q,POSTNORD AS AVD SKEI,913505026,Fossheim,6843,SKEI I JØLSTER,,,4647,Sunnfjord,46,Vestland
,NO12050969,Q,POSTNORD AS AVD STAVANGER,974106701,Jærveien 336,4322,SANDNES,,,1108,Sandnes,11,Rogaland
,NO12050970,Q,POSTNORD AS AVD STEINKJER,974139421,Jæktsmedgata 1,7725,STEINKJER,,,5006,Steinkjer,50,Trøndelag
,NO12050971,Q,POSTNORD AS AVD STOKMARKNES,976502752,Markedsgata 1,8450,STOKMARKNES,76154770,76154771,1866,Hadsel,18,Nordland
,NO12050973,Q,POSTNORD AS AVD TANA,976502590,Deatnodearbmi 38,9845,TANA,,,5628,Tana,56,Finnmark
,NO12050974,Q,POSTNORD AS AVD TROMSØ,974087103,Terminalgata 7,9019,TROMSØ,,,5501,Tromsø,55,Troms
,NO12050975,Q,POSTNORD AS AVD TRONDHEIM,974125048,Torgardstrøa 9,7093,TILLER,,,5001,Trondheim,50,Trøndelag
,NO12050976,Q,POSTNORD AS AVD VOSS,874106682,Liavegen 12,5705,VOSS,,,4621,Voss,46,Vestland
,NO12050977,Q,POSTNORD AS AVD ÅLESUND,974132923,Vestre Bingsa industriveg 4,6019,ÅLESUND,09300,,1508,Ålesund,15,Møre og Romsdal
,NO12050965,Q,POSTNORD AS AVD ÅNDALSNES,982589568,Øran Vest,6300,ÅNDALSNES,09300,71 22 65 01,1539,Rauma,15,Møre og Romsdal
,NO25053868,G,POTEVILT AS,935716195,c/o Potevilt AS,2090,HURDAL,,,3242,Hurdal,32,Akershus
,NO10050220,MN,PREMIUM PET PRODUCTS AS,972091154,Professor Birkelands vei 32B,1081,OSLO,22 72 76 70,,0301,Oslo kommune,03,Oslo
,NO20053142,I,PRESTFJORD AS,973437267,Havnegata 19,8400,Sortland,76110330,76110340,1868,Øksnes,18,Nordland
,NO20053143,I,PRESTFJORD AS,973437267,Havnegata 19,8400,Sortland,76110330,76110340,1868,Øksnes,18,Nordland
,NO20053038,I,PRIMA PROTEIN AS,918842063,Hovlandsveien 64,4374,EGERSUND,,,1101,Eigersund,11,Rogaland
,NO18052379,M,PRIX BREMNES AVD 263,973156381,Kyrkjegardsvegen 1,5430,BREMNES,,,4613,Bømlo,46,Vestland
,NO18052355,M,PRIX BYGLANDSFJORD AVD 001,973165968,Strandgata 7,4741,BYGLANDSFJORD,,,4220,Bygland,42,Agder
,NO22053375,M,PRIX BYHAVEN AVD 45,927118416,Tordenskjolds gate 36,4612,KRISTIANSAND S,,,4204,Kristiansand,42,Agder
,NO18052356,M,PRIX BYKLE AVD 010,971673044,Setesdalveien 4070,4754,BYKLE,,,4222,Bykle,42,Agder
,NO26054326,N,PRIX DRANGEID AVD 055,971688475,Glendrangeveien 5,4406,FLEKKEFJORD,,,4207,Flekkefjord,42,Agder
,NO18052380,M,PRIX EIKEN AVD 034,971680814,Langebakk 39,4596,EIKEN,38 34 81 14,,4226,Hægebostad,42,Agder
,NO18052363,M,PRIX FEDA AVD 024,973166182,Leirvollen 2,4485,FEDA,38 35 23 06,,4227,Kvinesdal,42,Agder
,NO18052382,M,PRIX GIMLEVANG AVD 014,973166085,Ingerthas vei 1,4630,KRISTIANSAND S,38 09 21 61,,4204,Kristiansand,42,Agder
,NO18052383,M,PRIX GJERSTAD AVD 006,973166018,Gjerstadveien 1332,4980,GJERSTAD,37 15 71 92,37 15 70 77,4211,Gjerstad,42,Agder
,NO18052384,M,PRIX GREIPSTAD AVD 011,973166069,Songdalsvegen 104,4645,NODELAND,38181475,,4204,Kristiansand,42,Agder
,NO13051083,N,PRIX HELLELAND AVD 171,974102951,Sirdalsveien 38,4376,HELLELAND,,,1101,Eigersund,11,Rogaland
,NO18052365,M,PRIX HOVSHERAD AVD 172,974091682,Hovsheradveien 738,4462,HOVSHERAD,,,1112,Lund,11,Rogaland
,NO26054250,M,PRIX HUSNES AVD 286,837183502,Onarheimsvegen 4,5460,HUSNES,,,4617,Kvinnherad,46,Vestland
,NO18052387,M,PRIX HYLESTAD AVD 009,973166042,Stovegen 4,4748,RYSSTAD,,,4221,Valle,42,Agder
,NO25054179,M,PRIX HØLE AVD 174,971710756,Floen 15,4308,SANDNES,51 67 05 11,51 67 20 53,1108,Sandnes,11,Rogaland
,NO18052367,M,PRIX KVINLOG AVD 031,993243604,Nesgata 40,4473,KVINLOG,38 35 51 64,,4227,Kvinesdal,42,Agder
,NO18052368,M,PRIX MOSEIDMOEN AVD 017,973166115,Drivenesvegen 31,4706,VENNESLA,381 555 80,381 576 45,4223,Vennesla,42,Agder
,NO18052369,M,PRIX OLTEDAL AVD 170,974097591,Bygdaveien 186,4333,OLTEDAL,,,1122,Gjesdal,11,Rogaland
,NO18052390,M,PRIX ROGALANDSGATE AVD 273,973156322,Rogalandgata 52,5531,HAUGESUND,,,1106,Haugesund,11,Rogaland
,NO26054316,N,PRIX ROSENDAL AVD 276,880882082,Skålagato 6,5470,ROSENDAL,,,4617,Kvinnherad,46,Vestland
,NO22053376,N,PRIX RØLDAL AVD 259,971760338,Kyrkjevegen 27,5760,RØLDAL,,,4618,Ullensvang,46,Vestland
,NO18052372,M,PRIX SIRA AVD 173,974190389,Prestevegen 3,4438,SIRA,,,4207,Flekkefjord,42,Agder
,NO18052373,M,Prix Sjoldastraumen avd 255,973156373,Skjoldastraumsvegen 1131,5567,SKJOLDASTRAUMEN,,,1146,Tysvær,11,Rogaland
,NO18052391,M,PRIX ST. OLAVS VEI AVD 012,973166077,St. Olavs vei 15,4631,KRISTIANSAND S,38 09 31 25,,4204,Kristiansand,42,Agder
,NO18052392,M,PRIX TREUNGEN AVD 004,973165992,Treungvegen 378-380,3855,TREUNGEN,35045100,35045453,4030,Nissedal,40,Telemark
,NO18052394,M,PRIX TVEIT AVD 020,873166142,Topdalsveien 163,4658,TVEIT,38 06 33 93,38 08 76 45,4204,Kristiansand,42,Agder
,NO18052376,M,PRIX VALLE AVD 041,971787201,Nordibøvegen 147A,4747,VALLE,37 93 71 02,37937411,4221,Valle,42,Agder
,NO18052395,M,PRIX VEDAVÅGEN AVD 265,980824195,Austre Veaveg 217,4276,VEAVÅGEN,,,1149,Karmøy,11,Rogaland
,NO18052377,M,PRIX VIKEDAL AVD 258,973877178,Kyrkjehølsvegen 5,5583,VIKEDAL,,,1160,Vindafjord,11,Rogaland
,NO18052397,M,PRIX ÅMLI AVD 003,973165984,Fossevegen 8,4865,ÅMLI,37 08 11 37,,4217,Åmli,42,Agder
,NO18052398,M,PRIX ÅSERAL AVD 019,971795468,Gardsvegen 8,4540,ÅSERAL,38 28 31 17,,4224,Åseral,42,Agder
,NO14051382,O,PRO CURE AS,983197388,Myklerudveien 144,1454,FAGERSTRAND,004746930803,,3212,Nesodden,32,Akershus
,NO18052452,N,PRODUKT OG PRODUKSJONSUTVIKLING AS,984042221,Varden 2,5535,HAUGESUND,52 71 71 72,,1106,Haugesund,11,Rogaland
,NO24053674,I,PROFÔR ESPEN KNUTSEN,919064625,Fosnavegen 315,5546,RØYKSUND,,,1149,Karmøy,11,Rogaland
,NO18052128,N,"PT FOR HEST OG RYTTER, LOUISE STRAND",915090591,Bjørkelien 51,5164,LAKSEVÅG,,,4601,Bergen,46,Vestland
,NO11050627,I,PUNTERVOLD K G AS,971754230,Østerhus,4879,GRIMSTAD,37 25 60 80,37 25 60 81,4202,Grimstad,42,Agder
,NO15051559,R,PÅL KOLBERG,981193245,Rokkeveien 756,1763,HALDEN,,,3101,Halden,31,Østfold
,NO11050525,I,Q-MEIERIENE AS AVD GAUSDALSMEIERIET,977341469,Østringsvegen 2,2651,ØSTRE GAUSDAL,55 10 00 00,61228450,3441,Gausdal,34,Innlandet
,NO16051771,M,Q-MEIERIENE AS AVD JÆREN GÅRDSMEIERI,979567308,Bedriftsvegen 21,4353,KLEPP STASJON,51789473,51789051,1120,Klepp,11,Rogaland
,NO21053216,O,QUALIPET AS,920720242,Møllesvingen 2,0854,OSLO,,,0301,Oslo kommune,03,Oslo
,NO23053492,PQ,QUICK LOGISTIKK AS,919941278,Breimyra 5,4344,BRYNE,,,1121,Time,11,Rogaland
,NO11050438,Q,R EDVARDSEN TRANSPORT AS,984522142,Sørkjosveien 327,9050,STORSTEINNES,,,5532,Balsfjord,55,Troms
,NO14051174,Q,R MIDTLI KRAN OG TRANSPORT AS,995212048,Grindstugugrenda 123,2672,SEL,,,3437,Sel,34,Innlandet
,NO22053408,O,RADICAL DOG AS,826691492,Møllesvingen 2,0854,OSLO,,,0301,Oslo kommune,03,Oslo
,NO23053509,Q,RAFDAL TRANSPORT AS,976328582,Strondavegen 851,5590,ETNE,,,4611,Etne,46,Vestland
,NO13051047,Q,RAGNAR SVENDSEN,972858587,Tranøyveien 2967,9392,STONGLANDSEIDET,77854668,,5530,Senja,55,Troms
,NO18052119,N,RAKKESTAD UTEMILJØ,983084230,Kåenveien 9,1890,RAKKESTAD,,,3120,Rakkestad,31,Østfold
,NO18052010,O,RAMSTAD GÅRD THEISEN,973325795,Ramstadveien 92,1480,SLATTUM,,,3232,Nittedal,32,Akershus
,NO13051016,P,RANDI TORLAND,,Junkerdalsveien 131,8255,RØKLAND,,,,,,
,NO18052039,N,RAUDEBERG MAT AS,987803630,Nedrevegen 100,6710,RAUDEBERG,,,4602,Kinn,46,Vestland
,NO22053367,R,RAUMARTOPPEN AS,987143339,Asak Søndre,1923,SØRUM,63 82 22 00,,3205,Lillestrøm,32,Akershus
,NO21053304,N,RAUS BRYGGE AS,921816030,Havnevegen 6B,8700,NESNA,,,1828,Nesna,18,Nordland
,NO24053747,H,RAWFOR NORGE AS,932301679,Mansrud,1860,TRØGSTAD,,,3118,Indre Østfold,31,Østfold
,NO11050663,Q,RAYMOND NICOLAYSEN HOLDING AS,991501223,Haraholveien 25,1715,YVEN,,,3105,Sarpsborg,31,Østfold
,NO19052698,N,RE FÔRFORMIDLING AS,922017484,Bettumveien 263,3178,VÅLE,,,3905,Tønsberg,39,Vestfold
,NO13051106,I,REDDAL FELLESPAKKERI SA,987792434,Reddal 60,4886,GRIMSTAD,,,4202,Grimstad,42,Agder
,NO10050056,Q,REDERI STORNES AS,977301084,Nessveet 43,7670,INDERØY,,,5053,Inderøy,50,Trøndelag
,NO21053239,Q,REDERIET TINTO AS,916515731,Tråvik 44B,5384,TORANGSVÅG,,,4625,Austevoll,46,Vestland
,NO25053841,M,REEF AQUATICS SÆTRE,833173022,Kalamyrveien 24A,4310,HOMMERSÅK,,,1108,Sandnes,11,Rogaland
,NO18052127,N,REINERT IDSØ,973902172,Idseveien 346b,4102,IDSE,,,1130,Strand,11,Rogaland
,NO11050589,M,REMA DISTRIBUSJON IMPORT AS AVD VINTERBRO,991809287,Myråsdalen 15,1407,Vinterbro,,,3218,Ås,32,Akershus
,NO25054226,N,REMA 1000 DRAGVOLL,892818622,Gamle Jonsvannsveien 45,7048,TRONDHEIM,,,5001,Trondheim,50,Trøndelag
,NO22053383,N,REMA 1000 MOSJØEN,922293333,Dolstadgata 19,8663,MOSJØEN,,,1824,Vefsn,18,Nordland
,NO23053537,N,REMA 1000 MÅLØY BRYGGE,972220493,Måløy Brygge,6700,MÅLØY,,,4602,Kinn,46,Vestland
,NO19052732,N,REMA 1000 NORDFJORDEID,976274008,Sjøgata 19,6770,NORDFJORDEID,57 86 04 31,57 86 05 71,4649,Stad,46,Vestland
,NO22053409,N,REMA 1000 SANDGATA NAMSOS,921258313,Sandgata 2,7800,NAMSOS,,,5007,Namsos,50,Trøndelag
,NO11050573,N,REMA 1000 ÅRSTADDALEN,996105083,Gamle Sokndalsveien 53,4372,EGERSUND,,,1101,Eigersund,11,Rogaland
,NO10050285,Q,RENNESØY TRAFIKK AS   AVD MOSTERØY,974104970,Mosterøyveien 86,4156,MOSTERØY,51 72 00 20,,1103,Stavanger,11,Rogaland
,NO13051008,Q,RENNESØY TRAFIKK AS AVD TAU,984502850,Breivikvegen 1,4120,TAU,,,1130,Strand,11,Rogaland
,NO21053212,MNO,REPTIL BYGG TRØNDELAG,918579842,Spongdalsvegen 473,7070,BOSBERG,,,5028,Melhus,50,Trøndelag
,NO14051388,I,RESTAURANT OPSAHLGÅRDEN,983533884,Kirkegata 10,3616,KONGSBERG,32764500,32734501,3303,Kongsberg,33,Buskerud
,NO12050809,M,RETREQ INTERNATIONAL Erling Skotner,995339528,Nesveien 129,3158,ANDEBU,33 44 22 73,,3907,Sandefjord,39,Vestfold
,NO16051760,N,RIMFROST AS,815245202,3 etasje,6002,ÅLESUND,,,1508,Ålesund,15,Møre og Romsdal
,NO10050185,INO,RINGERIKES KORNSILO A/L,971757159,Asbjørnsens gate 10,3513,HØNEFOSS,,,3305,Ringerike,33,Buskerud
,NO14051270,I,RINGNES SUPPLY COMPANY AS AVD GJELLERÅSEN,812157892,Bryggeriveien 2,1481,HAGAN,,,3232,Nittedal,32,Akershus
,NO12050808,Q,RISSA INDUSTRISERVICE AS,872326472,7100 rissa,7100,RISSA,,,5054,Indre Fosen,50,Trøndelag
,NO11050495,Q,ROALD HALLAN,,SUNDSETH,7622,MARKABYGDA,,,,,,
,NO17051938,Q,ROALD HERSETH TRANSPORT AS,998624908,,8890,LEIRFJORD,,,1822,Leirfjord,18,Nordland
,NO25054178,I,ROALDSNES AS,824195862,Nordstrandfjørå 71,6050,VALDERØYA,,,1532,Giske,15,Møre og Romsdal
,NO18052570,N,ROGALAND MASKIN & TRANSPORT AS,916064896,Tysværvågvegen 412,5570,AKSDAL,,,1146,Tysvær,11,Rogaland
,NO19052959,R,ROLF ERIK OKKENHAUG,978587100,Grøttingvegen 30,7608,LEVANGER,,,5037,Levanger,50,Trøndelag
,NO11050685,Q,ROLSTAD TRANSPORT AS,992539410,Gandaoaivi 12,9845 ,TANA,,,5628,Tana,56,Finnmark
,NO26054308,M,ROMERIKE RENHOLD SERVICE GØKCAN,935377358,Eivensstuen 1,2022,GJERDRUM,,,3230,Gjerdrum,32,Akershus
,NO19052972,N,ROMSØE PRODUKSJON AS,975070425,Sverdrups gate 23,4007,STAVANGER,51 52 30 22,,1103,Stavanger,11,Rogaland
,NO23053525,H,RONDANE PRODUKSJON AS AVD OTTA,924656344,Ulavegen 3,2670,OTTA,,,3437,Sel,34,Innlandet
,NO18052191,N,ROOS PER GUNNAR,972720836,Trondheimsvegen - Jessheim 974,2054,MOGREINA,,,3209,Ullensaker,32,Akershus
,NO19052901,M,ROSENBORG BAKERI AS AVD BAKERI ROSENBORG,974328933,Rosenborg gate 10,7043,TRONDHEIM,73878403/00,73 87 84 01,5001,Trondheim,50,Trøndelag
,NO18052623,M,ROSSELAND GÅRD AS,992123540,Songdalsvegen 451,4645,NODELAND,,,4204,Kristiansand,42,Agder
,NO23053555,P,ROVDE INDUSTRIPARK AS,987997273,"Rovde, Vanylven kommune, Gnr. Gnr. 106/ Bnr. 4.",6141,ROVDE,,,1511,Vanylven,15,Møre og Romsdal
,NO11050688,Q,ROY ARNE DYSTLAND,981557751,Sandvegen 32,2166,OPPAKER,,,3228,Nes,32,Akershus
,NO10050069,M,ROYAL CANIN NORGE AS,981888626,Professor Birkelandsvei 27 B,1081,OSLO,,,0301,Oslo kommune,03,Oslo
,NO13051045,Q,ROYAL DISTRIBUSJON AS,982789303,Hvamsvingen 4,2013,SKJETTEN,63842233,63842353,3205,Lillestrøm,32,Akershus
,NO20053160,P,RST,982401798,Vangsveien 10,1814,ASKIM,,,3118,Indre Østfold,31,Østfold
,NO14051359,R,RUGGLI ELLING,978560784,Dalenveien 565,1890,Rakkestad,,,3120,Rakkestad,31,Østfold
,NO17051874,Q,RUNDEVOLD TRANSPORT AS,984847599,Grøsfjellveien 61,4376,HELLELAND,,,1101,Eigersund,11,Rogaland
,NO23053570,Q,RUNE ANDERSEN TRANSPORT,895371882,Ekornveien 7,1640,RÅDE,,,3112,Råde,31,Østfold
,NO26054441,M,RUNE MARTIN THORVALDSEN,,BEKKENSTENVEIEN 25,1784,HALDEN,,,,,,
,NO14051357,Q,RUNE UVAAG LINDSTAD INNGÅR I DØDSBO,971950250,Solliveien 43,1930,AURSKOG,,,3226,Aurskog-Høland,32,Akershus
,NO19052894,N,Rusta Kristiansund,922161410,Industriveien 17,6517,KRISTIANSUND N,,,1505,Kristiansund,15,Møre og Romsdal
,NO19052746,M,RUSTA RETAIL AS AVD ELVERUM,922039801,Prestmyrvegen 3,2413,ELVERUM,,,3420,Elverum,34,Innlandet
,NO14051227,M,RUSTA RETAIL AS AVD KRISTIANSAND,913702948,Barstølveien 29,4636,KRISTIANSAND S,,,4204,Kristiansand,42,Agder
,NO20053134,M,RUSTA RETAIL AS AVD LAGUNEN,925365408,Laguneveien 21,5239,RÅDAL,,,4601,Bergen,46,Vestland
,NO14051224,M,RUSTA RETAIL AS AVD STRØMMEN,912663256,Støperiveien 48,2010,STRØMMEN,,,3205,Lillestrøm,32,Akershus
,NO14051225,M,RUSTA RETAIL AS AVD ÅSANE,913702875,Åsane Senter 51,5116,ULSET,,,4601,Bergen,46,Vestland
,NO21053243,M,RUSTA RETAIL AS AVD 301 JESSHEIM,926430394,Nordre Dølibekken 12,2050,JESSHEIM,,,3209,Ullensaker,32,Akershus
,NO20053074,M,RUSTA RETAIL AS AVD 302 SARPSBORG,924393548,Lilletuneveien 2,1711,SARPSBORG,,,3105,Sarpsborg,31,Østfold
,NO21053242,N,RUSTA RETAIL AS AVD 305 HILLEVÅG,926430440,Lagårdsveien 80,4010,STAVANGER,,,1103,Stavanger,11,Rogaland
,NO22053388,M,RUSTA RETAIL AS AVD 307 NAMSOS,928674568,Sandgata,7800,NAMSOS,,,5007,Namsos,50,Trøndelag
,NO23053473,M,RUSTA RETAIL AS AVD 309 VINTERBRO,930040339,Sjøskogenveien 7,1407,VINTERBRO,,,3218,Ås,32,Akershus
,NO23053481,M,RUSTA RETAIL AS AVD 311 FAGERNES,930040398,Valdresvegen 28,2900,FAGERNES,,,3451,Nord-Aurdal,34,Innlandet
,NO24053639,M,RUSTA RETAIL AS AVD 312 SLITU,931221086,Morstongveien 47,1859,SLITU,,,3118,Indre Østfold,31,Østfold
,NO23053550,M,RUSTA RETAIL AS AVD 313 LILLEHAMMER,931221248,Snekkervegen 5,2619,LILLEHAMMER,,,3405,Lillehammer,34,Innlandet
,NO24053661,M,RUSTA RETAIL AS AVD 314 EGERSUND,932788012,Fossveien 43,4373,EGERSUND,,,1101,Eigersund,11,Rogaland
,NO24053663,M,RUSTA RETAIL AS AVD 317 LØRENSKOG,932772256,Bibliotekgata 30,1473,LØRENSKOG,,,3222,Lørenskog,32,Akershus
,NO25054211,M,RUSTA RETAIL AS AVD 321 SORTLAND,936248136,Strandgata 40,8400,SORTLAND,,,1870,Sortland,18,Nordland
,NO25054213,M,RUSTA RETAIL AS AVD 322 BILLINGSTAD,936248098,Billingstadsletta 16,1396,BILLINGSTAD,,,3203,Asker,32,Akershus
,NO25054191,M,RUSTA RETAIL AS AVD 324 KRISTIANSAND VÅGSBYGD,836248252,Fiskåveien 4,4621,KRISTIANSAND S,,,4204,Kristiansand,42,Agder
,NO25054212,M,RUSTA RETAIL AS AVD 324 KRISTIANSAND VÅGSBYGD,836248252,Fiskåveien 4,4621,KRISTIANSAND S,,,4204,Kristiansand,42,Agder
,NO14051226,M,RUSTA RETAIL AS AVD 353 ALNABRU,913761790,Strømsveien 258,0668,OSLO,,,0301,Oslo kommune,03,Oslo
,NO14051229,M,RUSTA RETAIL AS AVD 355 TILLER,913865626,Ivar Lykkes veg 3,7075,TILLER,,,5001,Trondheim,50,Trøndelag
,NO15051423,M,RUSTA RETAIL AS AVD 356 GJØVIK,914003008,Kasper Andresens veg 2,2816,GJØVIK,,,3407,Gjøvik,34,Innlandet
,NO15051505,M,RUSTA RETAIL AS AVD 358 RYGGE,915502695,Carlbergveien 2,1526,MOSS,,,3103,Moss,31,Østfold
,NO16051595,M,RUSTA RETAIL AS AVD 359 HØNEFOSS,916532814,Hvervenmoveien 2C,3511,HØNEFOSS,,,3305,Ringerike,33,Buskerud
,NO16051623,M,RUSTA RETAIL AS AVD 360 ÅLESUND,916588771,Langelandsvegen 25,6010,ÅLESUND,,,1508,Ålesund,15,Møre og Romsdal
,NO16051622,M,RUSTA RETAIL AS AVD 362 LADE,916710550,Haakon VII's gate 27,7041,TRONDHEIM,,,5001,Trondheim,50,Trøndelag
,NO16051692,M,RUSTA RETAIL AS AVD 363 SARTOR,916894902,Gjertrudvegen 4,5353,STRAUME,,,4626,Øygarden,46,Vestland
,NO16051729,M,RUSTA RETAIL AS AVD 366 SANDNES,916894880,Gamle Stokkavei 1,4313,SANDNES,,,1108,Sandnes,11,Rogaland
,NO17051777,M,RUSTA RETAIL AS AVD 367 STEINKJER,917839018,Sersjantvegen 4,7713,STEINKJER,,,5006,Steinkjer,50,Trøndelag
,NO18052002,M,RUSTA RETAIL AS AVD 369 HAMAR,920007570,Midtstranda 35,2321,HAMAR,,,3403,Hamar,34,Innlandet
,NO18052003,M,RUSTA RETAIL AS AVD 371 ARENDAL,920007635,Sagvannsveien 38,4848,ARENDAL,,,4203,Arendal,42,Agder
,NO18052004,M,Rusta Retail AS avd 372 Stord,920066720,Grønehaugen 2,5412,STORD,,,4614,Stord,46,Vestland
,NO18052054,M,RUSTA RETAIL AS AVD 374 JÆRHAGEN,820229312,Solavegen 25,4351,KLEPPE,,,1120,Klepp,11,Rogaland
,NO18052005,M,RUSTA RETAIL AS AVD 375 LYNGDAL,920066879,Fiboveien 13c,4580,LYNGDAL,,,4225,Lyngdal,42,Agder
,NO19052943,M,RUSTA RETAIL AS AVD 376 FREDRIKSTAD,922161801,Dikeveien 45,1661,ROLVSØY,,,3107,Fredrikstad,31,Østfold
,NO18052006,M,RUSTA RETAIL AS AVD 377 HAUGESUND,920066933,Raglamyrvegen 5,5536,HAUGESUND,,,1106,Haugesund,11,Rogaland
,NO18052053,M,RUSTA RETAIL AS AVD 378 ORKANGER,920229395,Tverradkomsten 60,7300,ORKANGER,,,5059,Orkland,50,Trøndelag
,NO19052730,M,RUSTA RETAIL AS AVD 385 EIDSVOLL,921686846,Myhrersvingen 17,2080,EIDSVOLL,,,3240,Eidsvoll,32,Akershus
,NO19052942,M,RUSTA RETAIL AS AVD 387 VOLDA,922161402,Furene 20,6105,VOLDA,,,1577,Volda,15,Møre og Romsdal
,NO18052100,N,RYBORG AS,921206062,Ole Rytteragers vei 109,3530,RØYSE,,,3310,Hole,33,Buskerud
,NO18052606,N,RYGR BRYGGHUS AS,920491138,Plogfabrikkvegen 15,4353,KLEPP STASJON,,,1120,Klepp,11,Rogaland
